id,title,year,critic_score,type,original_language
1115,Before Midnight,2013,98,Romance,English
1123,Her,2013,94,Romance,English
1153,Enough Said,2013,95,Romance,English
1165,The Lunchbox,2013,97,Romance,Hindi
1218,Gravity,2013,95,Science Fiction & Fantasy,English
1244,Her,2013,94,Science Fiction & Fantasy,English
1253,Snowpiercer,2013,94,Science Fiction & Fantasy,English
1285,Jodorowsky's Dune,2013,98,Science Fiction & Fantasy,English
1295,The Hunger Games: Catching Fire,2013,90,Science Fiction & Fantasy,English
37,The LEGO Movie,2014,96,Action & Adventure,English
46,Guardians of the Galaxy,2014,92,Action & Adventure,English
63,X-Men: Days of Future Past,2014,90,Action & Adventure,English
77,Dawn of the Planet of the Apes,2014,90,Action & Adventure,English
86,Captain America: The Winter Soldier,2014,90,Action & Adventure,English
433,The LEGO Movie,2014,96,Comedy,English
439,Birdman or (The Unexpected Virtue of Ignorance),2014,91,Comedy,English
450,The Grand Budapest Hotel,2014,92,Comedy,English
471,What We Do in the Shadows,2014,96,Comedy,English
472,Paddington,2014,97,Comedy,English
621,Selma,2014,99,Drama,English
634,Boyhood,2014,97,Drama,English
669,The Babadook,2014,98,Drama,English (Australia)
709,The Babadook,2014,98,Horror,English (Australia)
714,It Follows,2014,95,Horror,English
739,A Girl Walks Home Alone at Night,2014,96,Horror,Persian
817,The LEGO Movie,2014,96,Kids & Family,English
831,Paddington,2014,97,Kids & Family,English
840,Song of the Sea,2014,99,Kids & Family,English
856,How to Train Your Dragon 2,2014,92,Kids & Family,English
862,Big Hero 6,2014,89,Kids & Family,English
1024,The Babadook,2014,98,Mystery & Suspense,English (Australia)
1038,Nightcrawler,2014,95,Mystery & Suspense,English
1091,Gone Girl,2014,87,Mystery & Suspense,English
1166,A Girl Walks Home Alone at Night,2014,96,Romance,Persian
1241,Guardians of the Galaxy,2014,92,Science Fiction & Fantasy,English
1252,Edge of Tomorrow,2014,91,Science Fiction & Fantasy,English
1261,X-Men: Days of Future Past,2014,90,Science Fiction & Fantasy,English
1270,Dawn of the Planet of the Apes,2014,90,Science Fiction & Fantasy,English
1282,Captain America: The Winter Soldier,2014,90,Science Fiction & Fantasy,English
1288,Song of the Sea,2014,99,Science Fiction & Fantasy,English
3,Mad Max: Fury Road,2015,97,Action & Adventure,English
11,Star Wars: The Force Awakens,2015,93,Action & Adventure,English
34,Mission: Impossible Rogue Nation,2015,94,Action & Adventure,English
80,Sicario,2015,92,Action & Adventure,English
446,Shaun the Sheep Movie,2015,99,Comedy,English
447,Spy,2015,95,Comedy,English
482,Anomalisa,2015,92,Comedy,English
622,Spotlight,2015,97,Drama,English
665,Brooklyn,2015,97,Drama,English (United Kingdom)
673,Creed,2015,95,Drama,English
726,The Witch,2015,90,Horror,English
777,We Are Still Here,2015,95,Horror,English
796,Bone Tomahawk,2015,91,Horror,English
803,Inside Out,2015,98,Kids & Family,English
894,The Peanuts Movie,2015,87,Kids & Family,English
1009,Spotlight,2015,97,Mystery & Suspense,English
1059,Eye in the Sky,2015,95,Mystery & Suspense,English
1073,Ex Machina,2015,92,Mystery & Suspense,English
1075,Sicario,2015,92,Mystery & Suspense,English
1089,Bridge of Spies,2015,90,Mystery & Suspense,English
1114,Carol,2015,94,Romance,English
1204,Mad Max: Fury Road,2015,97,Science Fiction & Fantasy,English
1214,Star Wars: The Force Awakens,2015,93,Science Fiction & Fantasy,English
1236,The Martian,2015,91,Science Fiction & Fantasy,English
1269,Ex Machina,2015,92,Science Fiction & Fantasy,English
16,Zootopia,2016,98,Action & Adventure,English
29,Captain America: Civil War,2016,90,Action & Adventure,English
30,The Jungle Book,2016,94,Action & Adventure,English
39,Moana,2016,95,Action & Adventure,English
47,Kubo and the Two Strings,2016,97,Action & Adventure,English
54,Hunt for the Wilderpeople,2016,97,Action & Adventure,English (Australia)
58,Doctor Strange,2016,89,Action & Adventure,English
415,Zootopia,2016,98,Comedy,English
417,La La Land,2016,90,Comedy,English
432,Paterson,2016,96,Comedy,English
449,Hunt for the Wilderpeople,2016,97,Comedy,English (Australia)
455,Love & Friendship,2016,96,Comedy,English
460,The Nice Guys,2016,91,Comedy,English
473,Don't Think Twice,2016,98,Comedy,English
493,The Edge of Seventeen,2016,94,Comedy,English
611,Moonlight,2016,98,Drama,English
626,Arrival,2016,94,Drama,English
638,Manchester by the Sea,2016,96,Drama,English
653,La La Land,2016,90,Drama,English
662,Hell or High Water,2016,97,Drama,English
689,Hidden Figures,2016,93,Drama,English
698,Paterson,2016,96,Drama,English
